SERIES,SYMBOL,SECURITY,RECORD_DT,BC_STRT_DT,BC_END_DT,EX_DT,ND_STRT_DT,ND_END_DT,PURPOSE
UA,IBUCCREDIT,SeReNCD8.75%SrVICI&II,10/02/2020, , ,07/02/2020, , ,INTEREST PAYMENT         
UB,ECLFINANCE,ECL NCD 10.15% Opt IV,14/02/2020, , ,13/02/2020, , ,INT PAYMENT/REDEMPTION   
UB,IBUCCREDIT,SeReNCD8.84%SrVICIII&IV,10/02/2020, , ,07/02/2020, , ,INTEREST PAYMENT         
UC,ECLFINANCE,ECL NCD 10.60 % Opt V,14/02/2020, , ,13/02/2020, , ,INT PAYMENT/REDEMPTION   
UC,ICFL,Indiabulls Consumer Finan,12/02/2020, , ,11/02/2020, , ,INTEREST PAYMENT         
UC,IBULHSGFIN,Uns Red NCD 8.79% Sr.VIII,15/02/2020, , ,13/02/2020, , ,INTEREST PAYMENT         
UD,ECLFINANCE,ECL NCD Opt VI,14/02/2020, , ,13/02/2020, , ,INT PAYMENT/REDEMPTION   
UF,IIFLFIN,India Infoline Finance Li,20/02/2020, , ,18/02/2020, , ,INTEREST PAYMENT         
UF,ICFL,Indiabulls Consumer Finan,12/02/2020, , ,11/02/2020, , ,INTEREST PAYMENT         
UG,ECLFINANCE,Sec Red NCD 9.25% Sr. III,14/02/2020, , ,13/02/2020, , ,INTEREST PAYMENT         
UH,IIFLFIN,India Infoline Finance Li,20/02/2020, , ,18/02/2020, , ,INTEREST PAYMENT         
UJ,ECLFINANCE,Sec Red NCD 9.43% Sr. VI,14/02/2020, , ,13/02/2020, , ,INTEREST PAYMENT         
UL,ICFL,Sec Red NCD 9.81% Sr. IV,20/02/2020, , ,18/02/2020, , ,INTEREST PAYMENT         
UN,IIFLFIN,UnSec Red NCD 10% Sr. V,14/02/2020, , ,13/02/2020, , ,INTEREST PAYMENT         
UO,ECLFINANCE,ECL Finance Limited,14/02/2020, , ,13/02/2020, , ,INTEREST PAYMENT         
UO,SREIBNPNCD,Uns Red NCD 9.25% Sr. I,15/02/2020, , ,13/02/2020, , ,INTEREST PAYMENT         
UO,ICFL,Sec Red NCD 10.04% Sr.VII,20/02/2020, , ,18/02/2020, , ,INTEREST PAYMENT         
UP,L&TFINANCE,Se Re NCD 8.48% Sr.IV OpI,03/02/2020, , ,31/01/2020, , ,INTEREST PAYMENT         
UQ,L&TFINANCE,SeReNCD 8.66% Sr.IV OpII,03/02/2020, , ,31/01/2020, , ,INTEREST PAYMENT         
UR,SREIBNPNCD,Uns Red NCD 9.35% Sr. IV,15/02/2020, , ,13/02/2020, , ,INTEREST PAYMENT         
UR,ECLFINANCE,ECL Finance Limited,14/02/2020, , ,13/02/2020, , ,INTEREST PAYMENT         
UU,SREIBNPNCD,Uns Red NCD 9.50% Sr. VII,15/02/2020, , ,13/02/2020, , ,INTEREST PAYMENT         
UV,L&TFINANCE,SeReNCD 8.52% Sr.VII OpI,03/02/2020, , ,31/01/2020, , ,INTEREST PAYMENT         
UW,L&TFINANCE,SeReNCD 8.70% Sr.VII OpII,03/02/2020, , ,31/01/2020, , ,INTEREST PAYMENT         
Y2,L&TFINANCE,L,10/02/2020, , ,07/02/2020, , ,INTEREST PAYMENT         
Y3,L&TFINANCE,L,10/02/2020, , ,07/02/2020, , ,INTEREST PAYMENT         
Y5,SREINFRA,Sec Red NCD 8.88% Sr. III,11/02/2020, , ,10/02/2020, , ,INT PAYMENT/REDEMPTION   
Y6,SREINFRA,Sec Red NCD 9.25% Sr. IV,12/02/2020, , ,11/02/2020, , ,INT PAYMENT/REDEMPTION   
Y6,L&TFINANCE,L,10/02/2020, , ,07/02/2020, , ,INTEREST PAYMENT         
Y7,SREINFRA,Sec Red NCD Sr. V,12/02/2020, , ,11/02/2020, , ,REDEMPTION               
Y7,L&TFINANCE,L,10/02/2020, , ,07/02/2020, , ,INTEREST PAYMENT         
YB,SRTRANSFIN,BOND 9.71% PA SRN S-V,14/02/2020, , ,13/02/2020, , ,INTEREST PAYMENT         
YH,SRTRANSFIN,Sec Red NCD 8.93% Sr. I,25/02/2020, , ,24/02/2020, , ,INTEREST PAYMENT         
