MKT,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,IND_SEC,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,EQ,DHUNINV,DHUNSERI INVESTMENTS LTD,       233.20,       244.05,       249.00,       230.00,       235.90,                   173062.55,718,N, ,260,       367.00,       181.70
N,EQ,DIAMONDYD,PRATAAP SNACKS LIMITED,       807.80,       800.00,       820.00,       800.00,       816.90,                   804509.45,988,N, ,438,      1049.05,       701.20
N,EQ,DICIND,DIC INDIA LIMITED,       340.60,       340.15,       351.05,       335.10,       340.85,                   222096.95,645,N, ,313,       421.35,       288.15
N,EQ,DIGISPICE,DIGISPICE TECHNOLOGIES LT,         5.35,         5.35,         5.45,         5.10,         5.10,                    11784.45,2290,N, ,11,        11.25,         4.15
N,EQ,DISHTV,DISH TV INDIA LTD.,        13.00,        12.80,        13.20,        12.40,        12.55,                105682551.70,8257274,N, ,22525,        42.25,        10.40
N,EQ,DIXON,DIXON TECHNO (INDIA) LTD,      4654.25,      4595.00,      4698.00,      4398.00,      4446.65,                474549536.95,103790,N, ,16743,      4719.95,      1560.00
N,EQ,DLINKINDIA,D-LINK INDIA LTD,       114.30,       116.00,       120.50,       109.00,       111.05,                 27673193.60,239561,N, ,4643,       125.00,        68.85
N,EQ,DOLAT,DOLAT INVESTMENTS LTD,        54.85,        56.00,        56.00,        51.75,        52.15,                  2188391.25,40960,N, ,583,        83.80,        33.50
N,EQ,DOLLAR,DOLLAR INDUSTRIES LIMITED,       146.75,       147.50,       147.50,       136.20,       140.45,                  7670581.55,53861,N, ,425,       304.00,       121.95
N,EQ,DONEAR,DONEAR IND. LIMITED,        29.75,        29.80,        30.45,        29.50,        29.70,                   346774.50,11620,N, ,171,        48.65,        21.60
N,EQ,DPSCLTD,DPSC LIMITED,         8.10,         7.50,         8.30,         7.50,         7.85,                    37123.75,4797,N, ,47,        16.15,         7.50
N,EQ,DPWIRES,D P WIRES LIMITED,        90.00,        89.90,        89.90,        79.15,        86.00,                      696.85,8,N, ,7,        98.00,        74.10
N,EQ,DQE,DQ ENTERTAINMENT INT LTD,         1.05,         1.00,         1.00,         1.00,         1.00,                    42780.00,42780,N, ,21,        10.20,         1.00
N,EQ,DREDGECORP,DREDGING CORP OF INDIA,       327.45,       327.15,       332.10,       316.00,       317.45,                 51237970.40,157780,N, ,5797,       457.55,       293.00
