SYMBOL,SERIES,SECURITY,HIGH/LOW,INDEX FLAG
SOMATEX,EQ,SOMA TEXTILES & INDUST LT,L
SORILINFRA,EQ,SORIL INFRA RESOURCES LTD,L
SPENTEX,BE,SPENTEX IND. LTD,L
SPMLINFRA,EQ,SPML INFRA LIMITED,L
SPTL,BE,SINTEX PLASTICS TECH LTD,L
SPYL,BE,SHEKHAWATI POLY-YARN LTD.,L
SSINFRA,SM,S S INFRA DEVP CONSL LTD,L
STINDIA,EQ,STI INDIA LTD,L
SUJANAUNI,BE,SUJANA UNI. INDS. LTD.,L
SUMEETINDS,BE,SUMEET IND LIMITED,L
SUPREMEINF,BE,SUPREME INFRA. LTD.,L
SURANASOL,BE,SURANA SOLAR LIMITED,L
TALWALKARS,EQ,TALWALKAR FITNESS LTD,L
TALWGYM,EQ,TALWALKARS HEALTHCLUB LTD,L
TECHNOFAB,BE,TECHNOFAB ENG LTD,L
THEMISMED,BE,THEMIS MEDICARE LTD.,L
THIRUSUGAR,BZ,THIRU AROORAN SUGARS LTD,L
TI,BE,TILAKNAGAR INDUSTRIES LTD,L
TREEHOUSE,EQ,TREE HOUSE EDU LTD,L
UNITY,BZ,UNITY INFRAPROJECTS LTD,L
URJA,BE,URJA GLOBAL LIMITED,L
UTTAMSTL,EQ,UTTAM GALVA STEELS LTD,L
UVSL,EQ,UTTAM VALUE STEELS LTD,L
VENUSREM,EQ,VENUS REMEDIES LIMITED,L
VICEROY,BE,VICEROY HOTELS LIMITED,L
VIKASMCORP,EQ,VIKAS MULTICORP LIMITED,L
VIPCLOTHNG,EQ,VIP CLOTHING LIMITED,L
VISESHINFO,BE,VISESH INFOTECNICS LTD,L
VIVIDHA,BE,VISAGAR POLYTEX LTD,L
WEBELSOLAR,EQ,WEBSOL ENERGY SYSTEM LTD,L
WEIZFOREX,EQ,WEIZMANN FOREX LIMITED,L
WEIZMANIND,EQ,WEIZMANN LTD,L
WILLAMAGOR,EQ,WILLIAMSON MAGOR,L
WINDMACHIN,EQ,WINDSOR MACHINES LIMITED,L
WIPL,BE,THE WESTERN INDIA PLY LTD,L
ZEEMEDIA,BE,ZEE MEDIA CORPORATION LTD,L
ZICOM,BE,ZICOM ELECT SEC SYS LTD,L
