symbol,cname,series,list_date,paid_up_value,market_lot,isin,face_value,calculated
ARSSINFRA,ARSS Infrastructure Projects Limited,BE,03-MAR-2010,10,1,INE267I01010,10,ARSSINFRA.NS
ARTEMISMED,Artemis Medicare Services Limited,EQ,23-JAN-2020,10,1,INE025R01013,10,ARTEMISMED.NS
ARVIND,Arvind Limited,EQ,08-FEB-1995,10,1,INE034A01011,10,ARVIND.NS
ARVINDFASN,Arvind Fashions Limited,EQ,08-MAR-2019,4,1,INE955V01021,4,ARVINDFASN.NS
ARVSMART,Arvind SmartSpaces Limited,EQ,26-AUG-2015,10,1,INE034S01021,10,ARVSMART.NS
ASAHIINDIA,Asahi India Glass Limited,EQ,18-MAR-1998,1,1,INE439A01020,1,ASAHIINDIA.NS
ASAHISONG,Asahi Songwon Colors Limited,EQ,29-AUG-2011,10,1,INE228I01012,10,ASAHISONG.NS
ASAL,Automotive Stampings and Assemblies Limited,EQ,12-MAR-2002,10,1,INE900C01027,10,ASAL.NS
ASALCBR,Associated Alcohols & Breweries Ltd.,EQ,12-FEB-2020,10,1,INE073G01016,10,ASALCBR.NS
ASHAPURMIN,Ashapura Minechem Limited,EQ,20-SEP-1995,2,1,INE348A01023,2,ASHAPURMIN.NS
ASHIANA,Ashiana Housing Limited,EQ,29-JUN-2011,2,1,INE365D01021,2,ASHIANA.NS
ASHIMASYN,Ashima Limited,BE,27-JUL-1995,10,1,INE440A01010,10,ASHIMASYN.NS
ASHOKA,Ashoka Buildcon Limited,EQ,14-OCT-2010,5,1,INE442H01029,5,ASHOKA.NS
ASHOKLEY,Ashok Leyland Limited,EQ,25-MAY-1995,1,1,INE208A01029,1,ASHOKLEY.NS
ASIANHOTNR,Asian Hotels (North) Limited,EQ,07-APR-2010,10,1,INE363A01022,10,ASIANHOTNR.NS
ASIANPAINT,Asian Paints Limited,EQ,31-MAY-1995,1,1,INE021A01026,1,ASIANPAINT.NS
ASIANTILES,Asian Granito India Limited,EQ,23-AUG-2007,10,1,INE022I01019,10,ASIANTILES.NS
ASPINWALL,Aspinwall and Company Limited,EQ,14-JUN-2016,10,1,INE991I01015,10,ASPINWALL.NS
ASTEC,Astec LifeSciences Limited,EQ,25-NOV-2009,10,1,INE563J01010,10,ASTEC.NS
ASTERDM,Aster DM Healthcare Limited,EQ,26-FEB-2018,10,1,INE914M01019,10,ASTERDM.NS
ASTRAL,Astral Poly Technik Limited,EQ,20-MAR-2007,1,1,INE006I01046,1,ASTRAL.NS
ASTRAMICRO,Astra Microwave Products Limited,EQ,01-NOV-2004,2,1,INE386C01029,2,ASTRAMICRO.NS
ASTRAZEN,AstraZeneca Pharma India Limited,EQ,04-MAY-2001,2,1,INE203A01020,2,ASTRAZEN.NS
ASTRON,Astron Paper & Board Mill Limited,EQ,29-DEC-2017,10,1,INE646X01014,10,ASTRON.NS
ATFL,Agro Tech Foods Limited,EQ,06-DEC-2002,10,1,INE209A01019,10,ATFL.NS
ATLANTA,Atlanta  Limited,EQ,25-SEP-2006,2,1,INE285H01022,2,ATLANTA.NS
ATLASCYCLE,Atlas Cycles (Haryana) Limited,BE,23-OCT-1996,5,1,INE446A01025,5,ATLASCYCLE.NS
ATUL,Atul Limited,EQ,06-MAY-1998,10,1,INE100A01010,10,ATUL.NS
ATULAUTO,Atul Auto Limited,EQ,26-JUN-2013,5,1,INE951D01028,5,ATULAUTO.NS
AUBANK,AU Small Finance Bank Limited,EQ,10-JUL-2017,10,1,INE949L01017,10,AUBANK.NS
AURIONPRO,Aurionpro Solutions Limited,EQ,25-OCT-2005,10,1,INE132H01018,10,AURIONPRO.NS
AUROPHARMA,Aurobindo Pharma Limited,EQ,19-JUL-2000,1,1,INE406A01037,1,AUROPHARMA.NS
AUSOMENT,Ausom Enterprise Limited,EQ,17-APR-1996,10,1,INE218C01016,10,AUSOMENT.NS
AUTOAXLES,Automotive Axles Limited,EQ,29-MAY-2003,10,1,INE449A01011,10,AUTOAXLES.NS
AUTOIND,Autoline Industries Limited,BE,31-JAN-2007,10,1,INE718H01014,10,AUTOIND.NS
AUTOLITIND,Autolite (India) Limited,EQ,31-MAY-1995,10,1,INE448A01013,10,AUTOLITIND.NS
AVADHSUGAR,Avadh Sugar & Energy Limited,EQ,28-JUL-2017,10,1,INE349W01017,10,AVADHSUGAR.NS
AVANTIFEED,Avanti Feeds Limited,EQ,15-APR-2015,1,1,INE871C01038,1,AVANTIFEED.NS
AVTNPL,AVT Natural Products Limited,EQ,10-JAN-2007,1,1,INE488D01021,1,AVTNPL.NS
AXISBANK,Axis Bank Limited,EQ,16-NOV-1998,2,1,INE238A01034,2,AXISBANK.NS
AXISCADES,AXISCADES Engineering Technologies Limited,EQ,21-DEC-2000,5,1,INE555B01013,5,AXISCADES.NS
AYMSYNTEX,AYM Syntex Limited,EQ,14-AUG-2015,10,1,INE193B01039,10,AYMSYNTEX.NS
BAGFILMS,B.A.G Films and Media Limited,BE,17-OCT-2003,2,1,INE116D01028,2,BAGFILMS.NS
BAJAJ-AUTO,Bajaj Auto Limited,EQ,26-MAY-2008,10,1,INE917I01010,10,BAJAJ-AUTO.NS
BAJAJCON,Bajaj Consumer Care Limited,EQ,18-AUG-2010,1,1,INE933K01021,1,BAJAJCON.NS
BAJAJELEC,Bajaj Electricals Limited,EQ,02-NOV-2007,2,1,INE193E01025,2,BAJAJELEC.NS
BAJAJFINSV,Bajaj Finserv Limited,EQ,26-MAY-2008,5,1,INE918I01018,5,BAJAJFINSV.NS
BAJAJHIND,Bajaj Hindusthan Sugar Limited,EQ,10-MAY-1995,1,1,INE306A01021,1,BAJAJHIND.NS
BAJAJHLDNG,Bajaj Holdings & Investment Limited,EQ,15-MAR-1995,10,1,INE118A01012,10,BAJAJHLDNG.NS
BAJFINANCE,Bajaj Finance Limited,EQ,01-APR-2003,2,1,INE296A01024,2,BAJFINANCE.NS
BALAJITELE,Balaji Telefilms Limited,EQ,22-NOV-2000,2,1,INE794B01026,2,BALAJITELE.NS
